Player,Position,team,Birthday,Age,Height,Wingspan,Weight (lbs),Hand Width,Reach,Standing Vert (in),Max Vert (in),Lane (sec),Shuttle (sec),3/4 Sprint (sec),Ovr. Rank,Avg. Rank,ESPN,The Athletic,CBS Sports,Tankathon,The Ringer,No Ceilings,Bleacher Report,GP,GS,mp,MIN_per,pts,oreb,dreb,treb,ast,stl,blk,TOV,pfr,FGM,FGA,FG%,twoPM,twoPA,twoP_per,TPM,TPA,TP_per,FTM,FTA,FT_per,TS_Per,PTS/36,OREB/36,DREB/36,TREB/36,AST/36,STL/36,BLK/36,TOV/36,PF/36,FGA/36,2PA/36,3PA/36,FTA/36,Info,eFG,ast/tov
"Disu, Dylan",PF,Texas,11/12/2000,23.57,"6'9""",,225,,,,,,,,100,89,98,96,94,94,90,81,70,25,20,25.8,0.6,15.5,1,4,5,1.5,1.3,1.1,1.6,3.4,5.6,12,0.465,3.9,8.3,0.471,1.6,3.6,0.451,2.8,3.4,0.812,0.627,21.6,1.4,5.6,7,2.1,1.8,1.5,2.2,4.7,7.8,11.6,5,4.7,https://www.sports-reference.com/cbb/players/dylan-disu-1.html,53.333,0.9375
"Toohey, Alex",SF,Australia,5/5/2004,20.09,"6'8""",,212,,,,,,,,101,89.14,118,77,94,94,90,81,70,29,25,21.5,0.5,8,1.3,2.7,4,0.8,0.5,0.5,0.4,1.6,2.8,6.4,0.443,2.2,4.1,0.55,0.6,2.3,0.254,1.7,2.5,0.685,0.596,13.3,2.2,4.5,6.7,1.3,0.8,0.9,0.6,2.7,4.7,6.8,3.9,4.2,https://basketball.realgm.com/player/Alex-Toohey/Summary/177212,48.981,2
"Stevens, Isaiah",PG,Colorado State,11/1/2000,23.6,"6'0""",,180,,,,,,,,102,89.57,118,80,94,94,90,81,70,36,36,34.8,0.9,16,0.5,2.7,3.2,6.8,1.2,0.2,2.4,1.4,5.8,12.3,0.474,4,8.1,0.491,1.8,4.2,0.44,2.6,3.1,0.836,0.632,16.6,0.5,2.8,3.3,7,1.2,0.2,2.5,1.4,6,8.4,4.3,3.2,https://www.sports-reference.com/cbb/players/isaiah-stevens-1.html,54.472,2.833333333
"Minix, Riley",SF,Morehead State,1/1/2000,24.43,"6'8""",,227,,,,,,,,103,89.86,82,118,94,94,90,81,70,35,35,33.8,0.8,20.9,3,6.6,9.7,2.2,1.3,1,2.3,2.3,7.8,14.4,0.541,6.1,9.5,0.638,1.7,4.8,0.349,3.7,4.4,0.839,0.708,22.3,3.2,7,10.3,2.3,1.4,1.1,2.4,2.4,8.3,10.1,5.1,4.7,https://www.sports-reference.com/cbb/players/riley-minix-1.html,60.069,0.956521739
"Yang, Hansen",C,China,6/26/2005,18.94,"7'1""",,249,,,,,,,,104,90.14,118,84,94,94,90,81,70,53,53,33.6,0.8,14.7,2.4,8.5,10.9,3.8,0.7,2.2,3.5,2.7,5.9,10.9,0.548,5.8,10.3,0.567,0.1,0.6,0.219,2.7,4.3,0.624,0.662,15.8,2.6,9.1,11.6,4.1,0.8,2.4,3.8,2.9,6.4,11,0.6,4.6,https://basketball.realgm.com/player/Hansen-Yang/Summary/202779,55.346,1.091168091
"Stevenson, Jarin",PF,Alabama,10/15/2005,18.64,"6'10""",,195,,,,,,,,105,90.43,86,118,94,94,90,81,70,37,5,16.6,0.4,5.3,0.6,2.1,2.7,0.4,0.2,0.4,0.9,1.7,1.8,4.3,0.418,0.9,1.5,0.596,0.9,2.7,0.317,0.8,1.2,0.689,0.576,11.5,1.3,4.6,5.9,0.9,0.4,0.9,2,3.7,3.9,3.3,5.9,2.6,https://www.sports-reference.com/cbb/players/jarin-stevenson-1.html,52.326,0.444444444
"Tomlin, NaeQwon",PF,Memphis,1/1/2001,23.43,"6' 9.5""",7' 2.50'',205,10,9' 1.00'',27.5,32.5,11.63,3.54,3.43,106,90.57,87,118,94,94,90,81,70,21,11,26.9,0.7,14,2.3,3.7,6,0.7,0.8,1.1,1,3.1,5.4,9,0.601,4.4,6.4,0.681,1,2.5,0.396,2.3,3,0.774,0.749,18.7,3.1,5,8,0.9,1.1,1.5,1.3,4.1,7.2,8.6,3.3,4,https://www.sports-reference.com/cbb/players/naeqwan-tomlin-1.html,65.556,0.7
"Edwards, Jesse",C,West Virginia,3/18/2000,24.22,7' 0.75'',7' 5.00'',236,10,9' 3.00'',30.5,35.5,11.24,3.23,3.33,107,90.71,88,118,94,94,90,81,70,23,22,28.2,0.7,15,3.2,4.9,8,1.2,0.6,1.7,1.9,3,5.8,9.4,0.613,5.8,9.3,0.624,0,0.2,0,3.5,6.7,0.523,0.779,19.1,4.1,6.3,10.2,1.5,0.8,2.2,2.4,3.8,7.4,11.9,0.3,8.6,https://www.sports-reference.com/cbb/players/jesse-edwards-1.html,61.702,0.631578947
"Poplar, Wooga",SG,Miami,1/5/2003,21.42,"6'5""",,195,,,,,,,,108,90.86,118,89,94,94,90,81,70,29,29,31.1,0.8,13.1,0.7,4.1,4.8,2.1,0.8,0.3,1.9,2.1,4.6,10.8,0.426,2.4,5.2,0.47,2.1,5.6,0.385,1.8,2,0.864,0.586,15.2,0.8,4.7,5.6,2.4,0.9,0.3,2.2,2.4,5.3,6,6.5,2.3,https://www.sports-reference.com/cbb/players/wooga-poplar-1.html,52.315,1.105263158
"Bal, Adama",PG,Santa Clara,12/18/2003,20.47,"6'7""",,190,,,,,,,,109,91,118,90,94,94,90,81,70,30,30,31.2,0.8,14.4,0.4,2.8,3.2,3.1,0.9,0.2,2.3,2.3,4.6,10.7,0.433,2.9,5.8,0.5,1.7,4.9,0.354,3.4,4.1,0.821,0.651,16.6,0.5,3.2,3.7,3.6,1,0.2,2.7,2.7,5.3,6.7,5.7,4.7,https://www.sports-reference.com/cbb/players/adama-bal-1.html,50.935,1.347826087
"Wagner, DJ",PG,Kentucky,5/4/2005,19.09,"6'3""","6'5""",175,,,,,,,,110,91.29,118,118,94,94,64,81,70,29,28,25.8,0.6,9.9,0.2,1.7,1.9,3.3,0.8,0.2,1.5,1.6,3.6,8.9,0.405,2.7,5.6,0.472,1,3.3,0.292,1.7,2.2,0.766,0.536,13.8,0.3,2.4,2.7,4.6,1.1,0.3,2.1,2.2,5,7.8,4.6,3.1,https://www.sports-reference.com/cbb/players/dj-wagner-1.html,46.067,2.2
"Jelavic, Andrija",PF,Serbia,5/26/2004,20.03,"6'11""",,224,,,,,,,,111,91.43,93,118,94,94,90,81,70,26,,31.7,0.8,10.3,1.5,6.2,7.6,1.7,1.4,0.9,1.7,2,4,8.6,0.471,3,5,0.605,1,3.6,0.287,1.2,1.7,0.698,0.578,11.7,1.7,7,8.6,1.9,1.6,1,1.9,2.3,4.5,5.7,4.1,1.9,https://www.basketball-reference.com/international/players/andrija-jelavic-1.html,52.326,1
"Kamardine, Ilias",PG,France,10/1/2003,20.68,"6'5""",,180,,,,,,,,112,91.86,96,118,94,94,90,81,70,12,,5.3,0.1,0.8,0,0.2,0.2,0.3,0.3,0,0.6,0.8,0.3,1.3,0.188,0,0.1,0,0.3,1.3,0.2,0.1,0.2,0.5,0.263,5.4,0,1.4,1.4,2,2,0,4.1,5.4,2,0.7,8.8,1.4,https://www.basketball-reference.com/international/players/ilias-kamardine-1.html,34.615,0.5
"Thomas, Saint",SF,Northern Colorado,5/1/2003,21.1,"6'7""",,200,,,,,,,,113,92,118,97,94,94,90,81,70,32,32,34.8,0.9,19.7,1.8,8,9.8,4.2,1.7,0.9,3,2.6,7,14.8,0.472,5,8.7,0.572,2,6.2,0.33,3.7,4.3,0.868,0.649,20.4,1.9,8.3,10.1,4.3,1.8,0.9,3.1,2.7,7.2,9,6.4,4.4,https://www.sports-reference.com/cbb/players/saint-thomas-1.html,54.054,1.4
"Darlan, Thierry",SF,G-League Ignite,2/3/2004,20.34,"6'6""","7'1""",189,,,,,,,,114,92.14,118,118,94,94,70,81,70,45,11,19.1,0.5,5.4,0.7,3,3.7,0.8,0.6,0.3,1.5,1.6,1.6,4.4,0.372,1.1,2.3,0.471,0.6,2.1,0.263,1,1.3,0.754,0.578,10.2,1.3,5.6,6.9,1.5,1.1,0.6,2.8,3,3.1,4.2,4,2.4,https://basketball.realgm.com/player/Thierry-Darlan/Summary/185256,43.578,0.536912752
"Williams, Jaylin",PF,Auburn,7/26/2000,23.86,"6'8""",,230,,,,,,,,115,92.14,118,98,94,94,90,81,70,34,33,24.1,0.6,12.4,1.1,3.4,4.4,1.9,0.7,0.7,1.1,1.8,4.5,7.8,0.574,3.5,5.3,0.659,1,2.5,0.395,2.5,3,0.832,0.759,18.5,1.6,5.1,6.6,2.8,1,1,1.6,2.7,6.7,7.9,3.7,4.5,https://www.sports-reference.com/cbb/players/jaylin-williams-1.html,64.103,1.727272727
"LeDee, Jaedon",SF,San Diego State,7/25/1999,24.86,"6'9""",,240,,,,,,,,116,92.29,118,99,94,94,90,81,70,36,36,32.6,0.8,21.4,3.4,5,8.4,1.3,1.2,0.5,2.4,2.4,7.3,13.1,0.56,6.8,11.8,0.572,0.6,1.3,0.444,6.3,8.6,0.734,0.797,23.6,3.8,5.5,9.3,1.4,1.3,0.6,2.7,2.7,8.1,13,1.4,9.5,https://www.sports-reference.com/cbb/players/jaedon-ledee-1.html,58.015,0.541666667
"Mitchell, Tre",PF,Kentucky,9/24/2000,23.7,"6'9""",,225,,,,,,,,117,92.29,99,118,94,94,90,81,70,27,24,30.3,0.8,10.7,1.8,5.4,7.2,2.6,0.7,1,1.4,2.6,3.8,7.9,0.484,2.9,4.9,0.595,0.9,3,0.305,2.1,2.9,0.744,0.65,12.7,2.1,6.4,8.6,3.1,0.8,1.2,1.7,3.1,4.5,5.8,3.6,3.4,https://www.sports-reference.com/cbb/players/tre-mitchell-1.html,53.797,1.857142857
"Ellis, Boogie",PG,USC,12/12/2000,23.48,6' 2'',6' 7.00'',185,10,8' 2.00'',31.5,39.5,11.98,3.33,3.19,118,92.43,100,118,94,94,90,81,70,29,29,33.5,0.8,16.5,0.3,3.2,3.5,3,1.4,0.1,1.8,1.9,5.6,13.1,0.427,2.6,5.9,0.439,3,7.2,0.418,2.3,3.2,0.72,0.615,17.7,0.3,3.4,3.8,3.2,1.5,0.1,1.9,2,6,6.3,7.7,3.4,https://www.sports-reference.com/cbb/players/boogie-ellis-1.html,54.198,1.666666667
